あいすけ	愛育
ゆきかず	侑和
ゆきなり	倖生
ゆきなり	幸慈
ゆきなり	侑生
ゆきのぶ	志信
ゆきはる	詩温
ゆきはる	千榛
ゆきはる	千陽
ゆきひさ	維央
ゆきひろ	千弘
ゆきひろ	千紘
ゆきひろ	千博
ゆきまさ	千聖
ゆきや	千弥
ゆきや	透
ゆきやす	幸穏
ゆずる	弓弦
ゆずる	弦
ゆずる	恒
ゆずる	穣
ゆずる	譲
ゆずる	禅
ゆたか	温
ゆたか	寛
ゆたか	浩
ゆたか	最
ゆたか	穣
ゆたか	泰
ゆたか	大
ゆたか	富
ゆたか	豊
ゆたか	稔
ゆたか	優
ゆたか	優理
ゆたか	優良
ゆたか	勇貴
ゆたか	悠
ゆたか	悠右
ゆたか	悠宇
ゆたか	悠生
ゆたか	悠陽
ゆたか	柚貴
ゆたか	由理
ゆたか	祐
ゆたか	裕
ゆたか	雄飛
ゆたか	洋
ゆたか	隆
ゆめき	夢希
ようき	陽希
ようこう	陽光
ようせい	陽世
ようせい	陽成
ようせい	陽晴
ようせい	陽生
ようせい	瑶生
ようた	桜詩
ようと	遥翔
ようと	陽翔
ようや	陽也
よしうみ	美海
よしお	愛生
よしお	美央
よしかず	愛和
よしかず	佳寿
よしかず	喜和
よしかず	仁和
よしかず	令和
よしき	愛希
よしき	愛稀
よしき	愛紀
よしき	愛輝
よしき	愛樹
よしき	愛生
よしき	愛絆
よしき	伊玖
よしき	栄輝
よしき	佳紀
よしき	貴己
よしき	圭希
よしき	恵喜
よしき	恵輝
よしき	慶樹
よしき	幸希
よしき	慈貴
よしき	寿希
よしき	純希
よしき	仁葵
よしき	仁希
よしき	仁稀
よしき	睦紀
よしき	理生
よしき	和生
よしちか	仁愛
よしてる	譲輝
よしと	愛斗
よしと	愛翔
よしと	佳采
よしと	佳寿
よしと	慶音
よしと	慶斗
よしと	慶都
よしと	慧斗
よしと	桂都
よしと	理仁
よしと	和采
よしとも	雄大
よしのぶ	愛喜
よしのり	佳紀
よしのり	美則
よしのり	美徳
よしのり	和紀
よしはる	快晴
よしはる	慶春
よしはる	仁悠
よしはる	由陽
よしひさ	愛久
よしひさ	佳寿
よしひろ	愛大
よしひろ	理央
よしまさ	由優
よしや	令和
よしゆき	誉礼
よりと	和杜
らいあ	來空
らいが	愛翔
らいが	雷華
らいと	輝
らいと	月
らいと	光
らいと	星
らいと	来翔
らいや	来弥
らく	楽
らく	樂
らんま	藍真
りいち	吏都
りいち	李都
りいち	俐都
りおう	利旺
りおう	吏央
りおう	吏桜
りおう	李旺
りおう	李凰
りおう	梨央
りおう	理央
りおう	理王
りおう	理桜
りおう	理生
りおう	璃央
りおう	璃旺
りおう	璃桜
りおう	琳王
りおう	麗央
りおう	俐央
りおう	凛旺
りおう	凛王
りおう	凛桜
りおう	莉央
りおう	莉桜
りおう	莉大
りおと	利音
りおと	吏音
りおと	李音
りおと	梨音
りおと	理音
りおと	璃乙
りおと	璃音
りおと	里音
りおと	涼音
りおと	俐音
りおと	凛音
りおと	莉音
りおと	凜音
りき	利生
りき	理生
りき	璃生
りき	陸希
りき	俐生
りき	莉生
りく	希望
りく	碧空
りく	歩斗
りく	歩来
りく	睦
りく	陸
りく	琉空
りく	涼
りく	六
りく	颯
りくお	睦生
りくお	陸央
りくき	陸希
りせい	利生
りせい	理生
りせい	莉生
りた	理大
りた	莉大
りつき	梨月
りつき	凛月
りつき	莉月
りつと	律都
りひと	梨仁
りひと	理仁
りひと	莉仁
りひと	莉都
りゅう	立
りゅう	流
りゅう	琉
りゅう	琉羽
りゅう	琉生
りゅう	留
りゅう	隆
りゅう	龍
りゅう	瑠
りゅう	瑠生
りゅう	颯
りゅうあ	琉亜
りゅうあ	琉愛
りゅうあ	琉雅
りゅうあ	琉空
りゅうあ	隆愛
りゅうあ	瑠亜
りゅうあ	瑠空
りゅうい	流衣
りゅうい	琉以
りゅうい	琉維
りゅうい	琉生
りゅうい	琉唯
りゅうが	琉雅
りゅうが	琉海
りゅうが	琉翔
りゅうが	瑠夏
りゅうき	流生
りゅうき	琉葵
りゅうき	琉生
りゅうく	琉空
りゅうしょう	琉翔
りゅうしょう	瑠翔
りゅうせい	流生
りゅうせい	琉生
りゅうせい	留生
りゅうせい	瑠生
りゅうぞう	琉翔
りゅうと	琉音
りゅうと	琉叶
りゅうと	琉翔
りゅうと	瑠翔
りゅうひ	瑠一
りゅうま	琉雅
りょうき	綾希
りょうせい	怜生
りょうせい	玲生
りょうと	涼音
りょうと	遼飛
りょうと	澪音
りょうま	稜稀
りょうや	諒陽
りょお	凌央
りょく	緑
りんせい	凛生
りんせい	凛青
りんと	綾音
りんと	梨音
りんと	梨仁
りんと	梨斗
りんと	梨都
りんと	梨翔
りんと	琳音
りんと	凛音
りんと	凛采
りんと	凛兎
りんと	凛都
りんと	莉翔
りんと	凜音
るいき	琉生
るいと	琉愛
るいと	琉翔
るいと	瑠
るいと	瑠愛
るうく	瑠空
るお	琉音
るおん	琉音
るおん	瑠恩
るき	流生
るき	琉葵
るき	琉生
るき	瑠生
るきあ	流愛
るきあ	琉愛
るきあ	瑠空
れいき	玲希
れいき	玲貴
れいき	玲樹
れいと	澪音
れいと	澪都
れいや	莉陽
れお	獅
れお	伶生
れお	嶺緒
れお	怜生
れお	玲生
れお	零
れお	麗愛
れお	麗央
れお	麗生
れお	蓮音
れお	澪音
れおと	蓮音
れおと	澪音
れおん	雨音
れおん	獅音
れおん	蓮音
れおん	澪音
れおん	莉央
れき	玲紀
れのん	蓮音
れんき	怜生
れんせい	怜生
れんと	琉翔
れんと	蓮音
ろい	路易
ろう	稜
ろう	朗
わく	湧
わこう	和幸
わたる	径
わたる	恒
わたる	航
わたる	済
わたる	渉
わたる	渡
わたる	弥
わたる	和
わたる	亘
